date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:58	10318/10318	---M-Z	200	added ('OK')	application/javascript	etag:%22e7115f15d8c0d21:0%22	http://localhost:55549/Scripts/respond.js	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Scripts/respond.js	(from http://localhost:55549/Help)
14:22:59	59250/59250	---M-Z	200	added ('OK')	application/javascript	etag:%22af8fccfd8c0d21:0%22	http://localhost:55549/Scripts/bootstrap.js	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Scripts/bootstrap.js	(from http://localhost:55549/Help)
14:22:59	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22a54d8fd8c0d21:0%22	http://localhost:55549/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/fonts/glyphicons-halflings-regular.eot	(from http://localhost:55549/Content/bootstrap.css)
14:23:01	16448/16448	---M--	200	added ('OK')	font/x-woff	etag:%221df2cefd8c0d21:0%22	http://localhost:55549/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/fonts/glyphicons-halflings-regular.woff	(from http://localhost:55549/Content/bootstrap.css)
14:23:01	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22a54d8fd8c0d21:0%22	http://localhost:55549/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/fonts/glyphicons-halflings-regulard41d.eot	(from http://localhost:55549/Content/bootstrap.css)
14:23:01	63157/63157	---M--	200	added ('OK')	image/svg+xml	etag:%22aff1d5fd8c0d21:0%22	http://localhost:55549/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/fonts/glyphicons-halflings-regular.svg	(from http://localhost:55549/Content/bootstrap.css)
14:23:02	11742/11742	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2006:23:01%20GMT	http://localhost:55549/Help/ResourceModel?modelName=user_post	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Help/ResourceModelc90c.html	(from http://localhost:55549/Help/Api/POST-api-post-post)
14:23:02	12220/12220	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2006:23:01%20GMT	http://localhost:55549/Help/ResourceModel?modelName=getNearbyPosts_Result	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Help/ResourceModelbef7.html	(from http://localhost:55549/Help/Api/GET-api-post-get_nearby_posts_latitude_longitude_distance_in_km)
14:23:03	8475/8475	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2006:23:02%20GMT	http://localhost:55549/Help/ResourceModel?modelName=user	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Help/ResourceModel3b82.html	(from http://localhost:55549/Help/Api/POST-api-user-signup)
14:23:03	12678/12678	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2006:23:02%20GMT	http://localhost:55549/Help/ResourceModel?modelName=user_bookmark	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Help/ResourceModel346b.html	(from http://localhost:55549/Help/Api/GET-api-user-get_user_bookmarks_userId_page_pageSize)
14:23:03	4332/4332	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2006:23:02%20GMT	http://localhost:55549/Help/ResourceModel?modelName=user_interest	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Help/ResourceModel99ae.html	(from http://localhost:55549/Help/Api/GET-api-user-get_user_interest_userId_page_pageSize)
14:23:04	29512/29512	---M--	200	added ('OK')	application/octet-stream	etag:%224c53d4fd8c0d21:0%22	http://localhost:55549/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/fonts/glyphicons-halflings-regular.ttf	(from http://localhost:55549/Content/bootstrap.css)
14:23:04	5700/5700	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2006:23:03%20GMT	http://localhost:55549/Help/ResourceModel?modelName=user_location	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Help/ResourceModelb363.html	(from http://localhost:55549/Help/Api/GET-api-user-get_user_locations_userId_page_pageSize)
14:23:04	12680/12680	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2006:23:03%20GMT	http://localhost:55549/Help/ResourceModel?modelName=user_post_like	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Help/ResourceModeld654.html	(from http://localhost:55549/Help/Api/GET-api-user-get_user_post_likes_user_id_page_pageSize)
14:23:06	273990/273990	---MCZ	200	added ('OK')	application/javascript	etag:%22928c812d8c0d21:0%22	http://localhost:55549/Scripts/jquery-1.10.2.js	C:/My%20Web%20Sites/MatchiWebAPI/localhost_55549/Scripts/jquery-1.10.2.js	(from http://localhost:55549/Help)
